Pipo's Grill,1800 FOLSOM ST,REQUESTED,Tacos: Burritos: Hot Dogs: and Hamburgers,37.76785244,-122.4161049,
Bob Johnson,Assessors Block 0733/Lot010,EXPIRED,Watermelon,37.78214353,-122.4304498,Mo-Su:10AM-7PM
Ziaurehman Amini,5 THE EMBARCADERO,REQUESTED,,37.794331,-122.3958111,
The Chai Cart,79 NEW MONTGOMERY ST,SUSPEND,Hot Indian Chai (Tea),37.7878897,-122.4005353,Mo-Su:7AM-6PM
Bob Johnson,1709 REVERE AVE,EXPIRED,Watermelon,37.73255958,-122.3920632,Mo-Su:10AM-7PM
Ziaurehman Amini,1 CALIFORNIA ST,REQUESTED,,37.79321373,-122.397043,
Athena SF Gyro,10 SOUTH VAN NESS AVE,REQUESTED,Gyro pita bread (Lamb or chicken): lamb over rice: chicken over rice: chicken biryani rice: soft drinks,37.77425926,-122.419486,We/Th/Fr:6AM-6PM
Athena SF Gyro,699 08TH ST,REQUESTED,Gyro pita bread (Lamb or chicken): lamb over rice: chicken over rice: chicken biryani rice: soft drinks,37.771022,-122.4035463,Mo-We:6AM-6PM
Reecees Soulicious,201 BAY SHORE BLVD,REQUESTED,Fried Chicken: Fried Fish: Greens: Mac & Cheese: Peach Cobbler: and String beans,37.74530891,-122.4034201,Mo-We:7AM-7PM
Reecees Soulicious,4705 03RD ST,REQUESTED,Fried Chicken: Fried Fish: Greens: Mac & Cheese: Peach Cobbler: and String beans,37.73500423,-122.3901725,Th/Fr/Sa:7AM-7PM
Spice Affairs,667 MISSION ST,REQUESTED,Chicken Tikka Masala: Vegetarian Rice Plate: Burritos: Tacos: Mango Lassi,37.78655805,-122.4010334,
Spice Affairs,290 SUTTER ST,REQUESTED,Chicken Tikka Masala: Vegetarian Rice Plate: Burritos: Tacos: Mango Lassi,37.78991387,-122.4052329,
Chilifruit,Assessors Block /Lot,REQUESTED,Mangoneadas: Fruit snacks: Chamoyadas: Bionicos,0,0,
Halal Cart of San Francisco,555 MARKET ST,REQUESTED,Gyro; Chicken over rice; Gyro over rice;,37.78988988,-122.3999304,
Halal Cart of San Francisco,1 FRONT ST,REQUESTED,Gyro; Chicken over rice; Gyro over rice;,37.79175721,-122.3988976,
"Halal Cart, LLC",901 MARKET ST,INACTIVE,Kebab: Halal Gyros: Grilled Halal Meat: Beverages,37.78347007,-122.4080407,Sa-Su:12AM-3AM;Mo-Su:10AM-8PM;Fr/Sa:9PM-12AM
Swell Cream & Coffee,2450 TARAVAL ST,REQUESTED,Ice cream: coffee: pastries,37.74255037,-122.4926771,
Swell Cream & Coffee,2401 36TH AVE,REQUESTED,Ice cream: coffee: pastries,37.74129028,-122.4943779,
M M Catering,98 MISSION ST,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,37.79337072,-122.3942333,Mo-Fr:7AM-9AM
Fruteria Serrano,4650 MISSION ST,REQUESTED,Fruits including mangoes: pineapples: coconuts: watermelon: corn: cucumber: potatoes chips: water: Mexican drinks: sodas: juices: snow cones,37.72366128,-122.4359438,Mo/Th/Fr:11AM-6PM
M M Catering,1499 ILLINOIS ST,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,37.75304032,-122.3866318,Mo-Fr:5PM-6PM
Senor Sisig,300 PINE ST,APPROVED,Filipino fusion food: tacos: burritos: nachos: rice plates. Various beverages.,0,0,Mo-Fr:11AM-2PM
Senor Sisig,101 CALIFORNIA ST,APPROVED,Senor Sisig: Filipino fusion food: tacos: burritos: nachos: rice plates. Various beverages.,37.79294895,-122.3980986,Mo/We/Fr:10AM-3PM
Papalote Inc.,60 SPEAR ST,REQUESTED,,37.79253599,-122.3945932,Tu/We:10AM-3PM
M M Catering,Assessors Block 3930A/Lot002,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,37.76651093,-122.4092601,Mo-Fr:7PM-8PM
M M Catering,661 HOWARD ST,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,37.78534568,-122.3994553,Mo-Fr:8PM-9PM
M M Catering,20 HAIGHT ST,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,37.77334088,-122.4228062,Mo-Fr:6PM-8PM
M M Catering,400 ALABAMA ST,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,37.76380665,-122.412611,Mo-Fr:7AM-8AM/9AM-10AM/12PM-1PM/8PM-9PM
M M Catering,100 BROADWAY,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,37.79886407,-122.4002636,Mo-Fr:10AM-11AM
Mob Dog,720 MARKET ST,REQUESTED,Hot Dogs: Chips: Bottled Drinks,37.78759842,-122.4040904,Th/Fr/Sa:8AM-10PM
M M Catering,1200 MISSISSIPPI ST,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,37.75169104,-122.3943742,Mo/Tu/We/Th/Fr:12AM-5AM;Sa:2PM-6PM;Mo-Fr:3PM-6PM
M M Catering,45 SPEAR ST,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,37.79387151,-122.3948652,Mo-Fr:7AM-8AM/9AM-11AM/12PM-1PM
M M Catering,1140 HARRISON ST,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,37.77498431,-122.4078409,Mo-Fr:9PM-10PM
M M Catering,667 MISSION ST,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,37.78655805,-122.4010334,Mo-Fr:8PM-9PM
M M Catering,1095 INDIANA ST,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,37.75690709,-122.3905254,Mo-Fr:6PM-7PM
M M Catering,2700 03RD ST,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,37.7547246,-122.3884569,Mo-Fr:6PM-7PM
